baseline,graph,batch_size,measurement_idx,insert_time_PageRank,algorithm_time_PageRank,insert_time_LabelPropagation,algorithm_time_LabelPropagation,insert_time_wBFS_unweighted,algorithm_time_wBFS_unweighted,insert_time_BFS,algorithm_time_BFS
run_absl_btree_set,com-orkut.ungraph,1,0,6e-06,0.324401,7e-06,0.051381,6e-06,3.869253,5e-06,0.012075
run_absl_btree_set,com-orkut.ungraph,1,1,1e-05,0.344793,1e-05,0.046119,1e-05,3.748543,9e-06,0.007563
run_absl_btree_set,com-orkut.ungraph,1,2,1e-05,0.364795,1e-05,0.045303,1.1e-05,3.719855,9e-06,0.007249
run_absl_btree_set,com-orkut.ungraph,1,3,1.1e-05,0.346283,1.1e-05,0.045726,1.3e-05,3.692369,8e-06,0.007376
run_absl_btree_set,com-orkut.ungraph,1,4,8e-06,0.335088,1.1e-05,0.046217,1e-05,3.697316,5e-06,0.007387
run_absl_btree_set,com-orkut.ungraph,1,5,1.2e-05,0.336802,1e-05,0.045297,1e-05,3.739703,6e-06,0.007551
run_absl_btree_set,com-orkut.ungraph,1,6,1.3e-05,0.34654,9e-06,0.046219,1.2e-05,4.022387,6e-06,0.007533
run_absl_btree_set,com-orkut.ungraph,1,7,1.1e-05,0.346504,1e-05,0.04626,1.1e-05,4.011356,5e-06,0.007617
run_absl_btree_set,com-orkut.ungraph,1,8,1.1e-05,0.329287,1e-05,0.045687,1e-05,3.796682,6e-06,0.007325
run_absl_btree_set,com-orkut.ungraph,1,9,1.3e-05,0.33648,1.2e-05,0.04514,2.4e-05,3.759118,7e-06,0.007375
run_absl_btree_set,cit-Patents,1,0,7e-06,0.186166,6e-06,0.033827,6e-06,5.443646,6e-06,0.015076
run_absl_btree_set,cit-Patents,1,1,9e-06,0.176454,9e-06,0.033532,1e-05,5.334006,9e-06,0.010925
run_absl_btree_set,cit-Patents,1,2,9e-06,0.180853,9e-06,0.03331,1.2e-05,5.383227,1e-05,0.010296
run_absl_btree_set,cit-Patents,1,3,1e-05,0.173396,8e-06,0.03206,1.3e-05,5.431822,8e-06,0.0107
run_absl_btree_set,cit-Patents,1,4,1.2e-05,0.179118,8e-06,0.034113,1e-05,5.675132,9e-06,0.013205
run_absl_btree_set,cit-Patents,1,5,8e-06,0.173777,1e-05,0.033625,9e-06,5.404656,1.1e-05,0.01037
run_absl_btree_set,cit-Patents,1,6,1e-05,0.173523,8e-06,0.034535,9e-06,5.394667,8e-06,0.010383
run_absl_btree_set,cit-Patents,1,7,1e-05,0.176221,8e-06,0.033501,1.1e-05,5.371856,8e-06,0.010375
run_absl_btree_set,cit-Patents,1,8,1.2e-05,0.180193,8e-06,0.033698,9e-06,5.325791,9e-06,0.01033
run_absl_btree_set,cit-Patents,1,9,8e-06,0.165424,8e-06,0.032836,1e-05,5.449231,1.2e-05,0.010364
run_absl_btree_set,soc-LiveJournal1,1,0,6e-06,0.19078,6e-06,0.033909,6e-06,5.024059,4e-06,0.015679
run_absl_btree_set,soc-LiveJournal1,1,1,1e-05,0.186953,1e-05,0.02698,1e-05,4.998209,9e-06,0.011873
run_absl_btree_set,soc-LiveJournal1,1,2,9e-06,0.191875,8e-06,0.027505,1.1e-05,5.327012,8e-06,0.011531
run_absl_btree_set,soc-LiveJournal1,1,3,1.1e-05,0.198651,9e-06,0.02743,3.6e-05,5.085266,8e-06,0.01146
run_absl_btree_set,soc-LiveJournal1,1,4,1.2e-05,0.191476,1.1e-05,0.02714,1.3e-05,5.031569,1e-05,0.011537
run_absl_btree_set,soc-LiveJournal1,1,5,1.4e-05,0.188926,1.1e-05,0.02747,9e-06,5.273181,9e-06,0.011584
run_absl_btree_set,soc-LiveJournal1,1,6,1.2e-05,0.2061,1.2e-05,0.027307,9e-06,5.133624,1e-05,0.011615
run_absl_btree_set,soc-LiveJournal1,1,7,1.4e-05,0.205519,1e-05,0.02699,1.2e-05,5.07591,9e-06,0.011633
run_absl_btree_set,soc-LiveJournal1,1,8,1.4e-05,0.197589,1.2e-05,0.027568,9e-06,4.946294,7e-06,0.011776
