baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_absl_btree_set,1,cit-Patents,BFS,0,6e-06,0.015076
run_absl_btree_set,1,cit-Patents,BFS,1,9e-06,0.010925
run_absl_btree_set,1,cit-Patents,BFS,2,1e-05,0.010296
run_absl_btree_set,1,cit-Patents,BFS,3,8e-06,0.0107
run_absl_btree_set,1,cit-Patents,BFS,4,9e-06,0.013205
run_absl_btree_set,1,cit-Patents,BFS,5,1.1e-05,0.01037
run_absl_btree_set,1,cit-Patents,BFS,6,8e-06,0.010383
run_absl_btree_set,1,cit-Patents,BFS,7,8e-06,0.010375
run_absl_btree_set,1,cit-Patents,BFS,8,9e-06,0.01033
run_absl_btree_set,1,cit-Patents,BFS,9,1.2e-05,0.010364
run_absl_btree_set,1,cit-Patents,LabelPropagation,0,6e-06,0.033827
run_absl_btree_set,1,cit-Patents,LabelPropagation,1,9e-06,0.033532
run_absl_btree_set,1,cit-Patents,LabelPropagation,2,9e-06,0.03331
run_absl_btree_set,1,cit-Patents,LabelPropagation,3,8e-06,0.03206
run_absl_btree_set,1,cit-Patents,LabelPropagation,4,8e-06,0.034113
run_absl_btree_set,1,cit-Patents,LabelPropagation,5,1e-05,0.033625
run_absl_btree_set,1,cit-Patents,LabelPropagation,6,8e-06,0.034535
run_absl_btree_set,1,cit-Patents,LabelPropagation,7,8e-06,0.033501
run_absl_btree_set,1,cit-Patents,LabelPropagation,8,8e-06,0.033698
run_absl_btree_set,1,cit-Patents,LabelPropagation,9,8e-06,0.032836
run_absl_btree_set,1,cit-Patents,PageRank,0,7e-06,0.186166
run_absl_btree_set,1,cit-Patents,PageRank,1,9e-06,0.176454
run_absl_btree_set,1,cit-Patents,PageRank,2,9e-06,0.180853
run_absl_btree_set,1,cit-Patents,PageRank,3,1e-05,0.173396
run_absl_btree_set,1,cit-Patents,PageRank,4,1.2e-05,0.179118
run_absl_btree_set,1,cit-Patents,PageRank,5,8e-06,0.173777
run_absl_btree_set,1,cit-Patents,PageRank,6,1e-05,0.173523
run_absl_btree_set,1,cit-Patents,PageRank,7,1e-05,0.176221
run_absl_btree_set,1,cit-Patents,PageRank,8,1.2e-05,0.180193
run_absl_btree_set,1,cit-Patents,PageRank,9,8e-06,0.165424
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,0,6e-06,5.443646
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,1,1e-05,5.334006
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,2,1.2e-05,5.383227
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,3,1.3e-05,5.431822
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,4,1e-05,5.675132
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,5,9e-06,5.404656
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,6,9e-06,5.394667
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,7,1.1e-05,5.371856
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,8,9e-06,5.325791
run_absl_btree_set,1,cit-Patents,wBFS_unweighted,9,1e-05,5.449231
run_absl_btree_set,1,com-friendster,BFS,0,6e-06,4.110719
run_absl_btree_set,1,com-friendster,BFS,1,1.4e-05,2.569955
run_absl_btree_set,1,com-friendster,BFS,2,1.3e-05,2.556419
run_absl_btree_set,1,com-friendster,BFS,3,1.3e-05,2.541873
run_absl_btree_set,1,com-friendster,BFS,4,1.5e-05,2.527103
run_absl_btree_set,1,com-friendster,BFS,5,1.6e-05,2.491754
run_absl_btree_set,1,com-friendster,BFS,6,1.3e-05,2.464487
run_absl_btree_set,1,com-friendster,BFS,7,1.5e-05,2.440676
run_absl_btree_set,1,com-friendster,BFS,8,1.5e-05,2.489281
run_absl_btree_set,1,com-friendster,BFS,9,1.4e-05,2.516796
run_absl_btree_set,1,com-friendster,LabelPropagation,0,8e-06,6.181177
run_absl_btree_set,1,com-friendster,LabelPropagation,1,1.3e-05,4.319017
run_absl_btree_set,1,com-friendster,LabelPropagation,2,1.5e-05,4.123277
run_absl_btree_set,1,com-friendster,LabelPropagation,3,1.2e-05,4.114868
run_absl_btree_set,1,com-friendster,LabelPropagation,4,1.4e-05,3.9633
