baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_vector_cpam,1,cit-Patents,BFS,0,8e-06,0.008268
run_vector_cpam,1,cit-Patents,BFS,1,1.1e-05,0.008124
run_vector_cpam,1,cit-Patents,BFS,2,9e-06,0.008006
run_vector_cpam,1,cit-Patents,BFS,3,1.2e-05,0.007825
run_vector_cpam,1,cit-Patents,BFS,4,8e-06,0.00789
run_vector_cpam,1,cit-Patents,BFS,5,1e-05,0.010887
run_vector_cpam,1,cit-Patents,BFS,6,1.1e-05,0.007887
run_vector_cpam,1,cit-Patents,BFS,7,1.3e-05,0.010545
run_vector_cpam,1,cit-Patents,BFS,8,1.2e-05,0.008039
run_vector_cpam,1,cit-Patents,BFS,9,1.2e-05,0.008111
run_vector_cpam,1,cit-Patents,LabelPropagation,0,8e-06,0.0217
run_vector_cpam,1,cit-Patents,LabelPropagation,1,1.2e-05,0.023126
run_vector_cpam,1,cit-Patents,LabelPropagation,2,1e-05,0.021691
run_vector_cpam,1,cit-Patents,LabelPropagation,3,1.2e-05,0.021915
run_vector_cpam,1,cit-Patents,LabelPropagation,4,1e-05,0.021307
run_vector_cpam,1,cit-Patents,LabelPropagation,5,1.1e-05,0.021373
run_vector_cpam,1,cit-Patents,LabelPropagation,6,1.1e-05,0.021349
run_vector_cpam,1,cit-Patents,LabelPropagation,7,1.2e-05,0.02139
run_vector_cpam,1,cit-Patents,LabelPropagation,8,1.1e-05,0.021165
run_vector_cpam,1,cit-Patents,LabelPropagation,9,1.1e-05,0.021021
run_vector_cpam,1,cit-Patents,PageRank,0,8e-06,0.153941
run_vector_cpam,1,cit-Patents,PageRank,1,1.5e-05,0.151909
run_vector_cpam,1,cit-Patents,PageRank,2,1.1e-05,0.131418
run_vector_cpam,1,cit-Patents,PageRank,3,1.5e-05,0.129681
run_vector_cpam,1,cit-Patents,PageRank,4,1.1e-05,0.137185
run_vector_cpam,1,cit-Patents,PageRank,5,1.2e-05,0.149635
run_vector_cpam,1,cit-Patents,PageRank,6,2.1e-05,0.137773
run_vector_cpam,1,cit-Patents,PageRank,7,1.4e-05,0.146511
run_vector_cpam,1,cit-Patents,PageRank,8,1.2e-05,0.152643
run_vector_cpam,1,cit-Patents,PageRank,9,1.2e-05,0.139974
run_vector_cpam,1,cit-Patents,wBFS_unweighted,0,8e-06,4.713581
run_vector_cpam,1,cit-Patents,wBFS_unweighted,1,1.4e-05,4.683243
