baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_pcsr,1,cit-Patents,BFS,0,2e-06,0.009378
run_pcsr,1,cit-Patents,BFS,1,1e-06,0.008521
run_pcsr,1,cit-Patents,BFS,2,2e-06,0.008278
run_pcsr,1,cit-Patents,BFS,3,2e-06,0.008255
run_pcsr,1,cit-Patents,BFS,4,2e-06,0.00823
run_pcsr,1,cit-Patents,BFS,5,2e-06,0.00837
run_pcsr,1,cit-Patents,BFS,6,2e-06,0.008176
run_pcsr,1,cit-Patents,BFS,7,1e-06,0.008193
run_pcsr,1,cit-Patents,BFS,8,2e-06,0.008234
run_pcsr,1,cit-Patents,BFS,9,1e-06,0.008143
run_pcsr,1,cit-Patents,LabelPropagation,0,2e-06,0.025599
run_pcsr,1,cit-Patents,LabelPropagation,1,3e-06,0.022082
run_pcsr,1,cit-Patents,LabelPropagation,2,3e-06,0.022737
run_pcsr,1,cit-Patents,LabelPropagation,3,3e-06,0.022882
run_pcsr,1,cit-Patents,LabelPropagation,4,3e-06,0.022167
run_pcsr,1,cit-Patents,LabelPropagation,5,3e-06,0.022282
run_pcsr,1,cit-Patents,LabelPropagation,6,3e-06,0.022519
run_pcsr,1,cit-Patents,LabelPropagation,7,3e-06,0.02229
run_pcsr,1,cit-Patents,LabelPropagation,8,3e-06,0.022156
run_pcsr,1,cit-Patents,LabelPropagation,9,3e-06,0.022455
run_pcsr,1,cit-Patents,PageRank,0,2e-06,0.163807
run_pcsr,1,cit-Patents,PageRank,1,5e-06,0.152793
run_pcsr,1,cit-Patents,PageRank,2,3e-06,0.148415
run_pcsr,1,cit-Patents,PageRank,3,4e-06,0.153584
run_pcsr,1,cit-Patents,PageRank,4,3e-06,0.15371
run_pcsr,1,cit-Patents,PageRank,5,5e-06,0.145265
run_pcsr,1,cit-Patents,PageRank,6,5e-06,0.146557
run_pcsr,1,cit-Patents,PageRank,7,4e-06,0.149576
run_pcsr,1,cit-Patents,PageRank,8,7e-06,0.145298
run_pcsr,1,cit-Patents,PageRank,9,3e-06,0.136369
run_pcsr,1,cit-Patents,wBFS_unweighted,0,3e-06,5.614045
run_pcsr,1,cit-Patents,wBFS_unweighted,1,5e-06,5.510809
run_pcsr,1,cit-Patents,wBFS_unweighted,2,5e-06,5.571837
run_pcsr,1,cit-Patents,wBFS_unweighted,3,5e-06,5.503525
run_pcsr,1,cit-Patents,wBFS_unweighted,4,4e-06,5.582531
run_pcsr,1,cit-Patents,wBFS_unweighted,5,3e-06,5.572959
run_pcsr,1,cit-Patents,wBFS_unweighted,6,5e-06,5.49306
run_pcsr,1,cit-Patents,wBFS_unweighted,7,4e-06,5.47379
run_pcsr,1,cit-Patents,wBFS_unweighted,8,3e-06,5.478423
run_pcsr,1,cit-Patents,wBFS_unweighted,9,3e-06,5.476916
run_pcsr,1,com-orkut.ungraph,BFS,0,3e-06,0.005531
run_pcsr,1,com-orkut.ungraph,BFS,1,1e-06,0.005055
run_pcsr,1,com-orkut.ungraph,BFS,2,1e-06,0.004859
run_pcsr,1,com-orkut.ungraph,BFS,3,1e-06,0.004724
run_pcsr,1,com-orkut.ungraph,BFS,4,2e-06,0.0046
run_pcsr,1,com-orkut.ungraph,BFS,5,1e-06,0.004633
run_pcsr,1,com-orkut.ungraph,BFS,6,1e-06,0.004558
run_pcsr,1,com-orkut.ungraph,BFS,7,1e-06,0.004697
run_pcsr,1,com-orkut.ungraph,BFS,8,1e-06,0.004771
run_pcsr,1,com-orkut.ungraph,BFS,9,1e-06,0.004609
run_pcsr,1,com-orkut.ungraph,LabelPropagation,0,2e-06,0.04081
run_pcsr,1,com-orkut.ungraph,LabelPropagation,1,3e-06,0.038056
run_pcsr,1,com-orkut.ungraph,LabelPropagation,2,3e-06,0.038377
run_pcsr,1,com-orkut.ungraph,LabelPropagation,3,3e-06,0.037406
run_pcsr,1,com-orkut.ungraph,LabelPropagation,4,3e-06,0.037382
run_pcsr,1,com-orkut.ungraph,LabelPropagation,5,3e-06,0.038389
run_pcsr,1,com-orkut.ungraph,LabelPropagation,6,3e-06,0.037369
run_pcsr,1,com-orkut.ungraph,LabelPropagation,7,3e-06,0.037689
run_pcsr,1,com-orkut.ungraph,LabelPropagation,8,3e-06,0.037681
run_pcsr,1,com-orkut.ungraph,LabelPropagation,9,3e-06,0.03811
run_pcsr,1,com-orkut.ungraph,PageRank,0,3e-06,0.220127
run_pcsr,1,com-orkut.ungraph,PageRank,1,4e-06,0.198628
run_pcsr,1,com-orkut.ungraph,PageRank,2,4e-06,0.195815
run_pcsr,1,com-orkut.ungraph,PageRank,3,3e-06,0.217848
run_pcsr,1,com-orkut.ungraph,PageRank,4,5e-06,0.196035
run_pcsr,1,com-orkut.ungraph,PageRank,5,3e-06,0.207748
run_pcsr,1,com-orkut.ungraph,PageRank,6,7e-06,0.205181
run_pcsr,1,com-orkut.ungraph,PageRank,7,4e-06,0.193875
run_pcsr,1,com-orkut.ungraph,PageRank,8,4e-06,0.208294
run_pcsr,1,com-orkut.ungraph,PageRank,9,5e-06,0.199842
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,0,3e-06,3.892588
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,1,5e-06,3.88801
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,2,4e-06,3.882992
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,3,4e-06,3.895557
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,4,4e-06,3.89973
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,5,4e-06,3.897555
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,6,4e-06,3.884542
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,7,4e-06,3.889757
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,8,4e-06,3.887678
run_pcsr,1,com-orkut.ungraph,wBFS_unweighted,9,4e-06,3.89846
run_pcsr,1,soc-LiveJournal1,BFS,0,4e-06,0.007335
run_pcsr,1,soc-LiveJournal1,BFS,1,2e-06,0.006599
run_pcsr,1,soc-LiveJournal1,BFS,2,2e-06,0.006353
run_pcsr,1,soc-LiveJournal1,BFS,3,2e-06,0.006309
run_pcsr,1,soc-LiveJournal1,BFS,4,2e-06,0.006128
run_pcsr,1,soc-LiveJournal1,BFS,5,2e-06,0.006317
run_pcsr,1,soc-LiveJournal1,BFS,6,2e-06,0.006228
run_pcsr,1,soc-LiveJournal1,BFS,7,2e-06,0.006168
run_pcsr,1,soc-LiveJournal1,BFS,8,2e-06,0.006235
run_pcsr,1,soc-LiveJournal1,BFS,9,2e-06,0.006367
run_pcsr,1,soc-LiveJournal1,LabelPropagation,0,2e-06,0.025592
run_pcsr,1,soc-LiveJournal1,LabelPropagation,1,4e-06,0.023792
run_pcsr,1,soc-LiveJournal1,LabelPropagation,2,3e-06,0.023827
run_pcsr,1,soc-LiveJournal1,LabelPropagation,3,3e-06,0.024332
run_pcsr,1,soc-LiveJournal1,LabelPropagation,4,3e-06,0.023069
run_pcsr,1,soc-LiveJournal1,LabelPropagation,5,3e-06,0.023696
run_pcsr,1,soc-LiveJournal1,LabelPropagation,6,3e-06,0.023221
run_pcsr,1,soc-LiveJournal1,LabelPropagation,7,3e-06,0.023289
run_pcsr,1,soc-LiveJournal1,LabelPropagation,8,3e-06,0.022952
run_pcsr,1,soc-LiveJournal1,LabelPropagation,9,3e-06,0.024034
run_pcsr,1,soc-LiveJournal1,PageRank,0,2e-06,0.166312
run_pcsr,1,soc-LiveJournal1,PageRank,1,4e-06,0.165368
run_pcsr,1,soc-LiveJournal1,PageRank,2,4e-06,0.164137
run_pcsr,1,soc-LiveJournal1,PageRank,3,4e-06,0.154219
run_pcsr,1,soc-LiveJournal1,PageRank,4,6e-06,0.157244
run_pcsr,1,soc-LiveJournal1,PageRank,5,5e-06,0.162412
run_pcsr,1,soc-LiveJournal1,PageRank,6,5e-06,0.15466
