baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_ppcsr,1,cit-Patents,BFS,0,1e-06,0.019156
run_ppcsr,1,cit-Patents,BFS,1,2e-06,0.018052
run_ppcsr,1,cit-Patents,BFS,2,2e-06,0.017863
run_ppcsr,1,cit-Patents,BFS,3,2e-06,0.017852
run_ppcsr,1,cit-Patents,BFS,4,3e-06,0.018224
run_ppcsr,1,cit-Patents,BFS,5,2e-06,0.018634
run_ppcsr,1,cit-Patents,BFS,6,2e-06,0.019692
run_ppcsr,1,cit-Patents,BFS,7,3e-06,0.018807
run_ppcsr,1,cit-Patents,BFS,8,3e-06,0.018167
run_ppcsr,1,cit-Patents,BFS,9,3e-06,0.018209
run_ppcsr,1,cit-Patents,LabelPropagation,0,1e-06,0.038489
run_ppcsr,1,cit-Patents,LabelPropagation,1,2e-06,0.036629
run_ppcsr,1,cit-Patents,LabelPropagation,2,2e-06,0.036725
run_ppcsr,1,cit-Patents,LabelPropagation,3,2e-06,0.036776
run_ppcsr,1,cit-Patents,LabelPropagation,4,3e-06,0.036892
run_ppcsr,1,cit-Patents,LabelPropagation,5,2e-06,0.037943
run_ppcsr,1,cit-Patents,LabelPropagation,6,2e-06,0.03688
run_ppcsr,1,cit-Patents,LabelPropagation,7,2e-06,0.036492
run_ppcsr,1,cit-Patents,LabelPropagation,8,2e-06,0.036324
run_ppcsr,1,cit-Patents,LabelPropagation,9,3e-06,0.036568
run_ppcsr,1,cit-Patents,PageRank,0,2e-06,0.250345
run_ppcsr,1,cit-Patents,PageRank,1,3e-06,0.235306
run_ppcsr,1,cit-Patents,PageRank,2,2e-06,0.255374
run_ppcsr,1,cit-Patents,PageRank,3,2e-06,0.252698
run_ppcsr,1,cit-Patents,PageRank,4,3e-06,0.24158
run_ppcsr,1,cit-Patents,PageRank,5,2e-06,0.254438
run_ppcsr,1,cit-Patents,PageRank,6,3e-06,0.237463
run_ppcsr,1,cit-Patents,PageRank,7,4e-06,0.224879
run_ppcsr,1,cit-Patents,PageRank,8,3e-06,0.245327
run_ppcsr,1,cit-Patents,PageRank,9,9e-06,0.240581
run_ppcsr,1,cit-Patents,wBFS_unweighted,0,1e-06,5.528867
run_ppcsr,1,cit-Patents,wBFS_unweighted,1,2e-06,5.436385
run_ppcsr,1,cit-Patents,wBFS_unweighted,2,2e-06,5.459594
run_ppcsr,1,cit-Patents,wBFS_unweighted,3,2e-06,5.558961
run_ppcsr,1,cit-Patents,wBFS_unweighted,4,1e-05,5.598345
run_ppcsr,1,cit-Patents,wBFS_unweighted,5,1e-05,5.536239
run_ppcsr,1,cit-Patents,wBFS_unweighted,6,1e-05,5.597898
run_ppcsr,1,cit-Patents,wBFS_unweighted,7,1.2e-05,5.859098
run_ppcsr,1,cit-Patents,wBFS_unweighted,8,7e-06,5.424052
run_ppcsr,1,cit-Patents,wBFS_unweighted,9,1e-05,5.40707
run_ppcsr,1,com-orkut.ungraph,BFS,0,3e-06,0.008693
run_ppcsr,1,com-orkut.ungraph,BFS,1,2e-06,0.007091
run_ppcsr,1,com-orkut.ungraph,BFS,2,1.41189,0.008998
run_ppcsr,1,com-orkut.ungraph,BFS,3,3e-06,0.008889
run_ppcsr,1,com-orkut.ungraph,BFS,4,3e-06,0.008736
run_ppcsr,1,com-orkut.ungraph,BFS,5,2e-06,0.008691
run_ppcsr,1,com-orkut.ungraph,BFS,6,3e-06,0.00871
run_ppcsr,1,com-orkut.ungraph,BFS,7,2e-06,0.00874
run_ppcsr,1,com-orkut.ungraph,BFS,8,2e-06,0.008762
run_ppcsr,1,com-orkut.ungraph,BFS,9,2e-06,0.008669
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,0,3.6e-05,0.051024
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,1,2e-06,0.050143
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,2,1.206774,0.058174
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,3,3e-06,0.057102
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,4,3e-06,0.056234
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,5,3e-06,0.057959
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,6,3e-06,0.056639
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,7,2e-06,0.057114
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,8,2e-06,0.05764
run_ppcsr,1,com-orkut.ungraph,LabelPropagation,9,3e-06,0.057575
run_ppcsr,1,com-orkut.ungraph,PageRank,0,4e-06,0.300595
run_ppcsr,1,com-orkut.ungraph,PageRank,1,2e-06,0.313375
run_ppcsr,1,com-orkut.ungraph,PageRank,2,1.223825,0.569506
run_ppcsr,1,com-orkut.ungraph,PageRank,3,3e-06,0.51779
run_ppcsr,1,com-orkut.ungraph,PageRank,4,6e-06,0.52426
run_ppcsr,1,com-orkut.ungraph,PageRank,5,4e-06,0.491812
run_ppcsr,1,com-orkut.ungraph,PageRank,6,8e-06,0.483721
run_ppcsr,1,com-orkut.ungraph,PageRank,7,7e-06,0.476724
run_ppcsr,1,com-orkut.ungraph,PageRank,8,5e-06,0.497434
run_ppcsr,1,com-orkut.ungraph,PageRank,9,1e-05,0.489084
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,0,3e-06,3.544703
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,1,2e-06,3.532941
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,2,1.72714,3.622157
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,3,7e-06,7.092018
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,4,7e-06,5.58842
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,5,3e-06,4.584316
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,6,6e-06,3.581151
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,7,7e-06,3.682916
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,8,7e-06,3.599334
run_ppcsr,1,com-orkut.ungraph,wBFS_unweighted,9,6e-06,3.617435
run_ppcsr,1,soc-LiveJournal1,BFS,0,1e-06,0.01658
run_ppcsr,1,soc-LiveJournal1,BFS,1,2e-06,0.015962
run_ppcsr,1,soc-LiveJournal1,BFS,2,3e-06,0.015829
run_ppcsr,1,soc-LiveJournal1,BFS,3,3e-06,0.015591
run_ppcsr,1,soc-LiveJournal1,BFS,4,3e-06,0.015631
run_ppcsr,1,soc-LiveJournal1,BFS,5,2e-06,0.015562
run_ppcsr,1,soc-LiveJournal1,BFS,6,3e-06,0.015501
run_ppcsr,1,soc-LiveJournal1,BFS,7,3e-06,0.015472
run_ppcsr,1,soc-LiveJournal1,BFS,8,3e-06,0.015526
run_ppcsr,1,soc-LiveJournal1,BFS,9,2e-06,0.015647
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,0,1e-06,0.040601
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,1,2e-06,0.040209
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,2,3e-06,0.040093
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,3,3e-06,0.039622
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,4,3e-06,0.040029
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,5,2e-06,0.039462
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,6,3e-06,0.040467
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,7,2e-06,0.04015
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,8,2e-06,0.039908
run_ppcsr,1,soc-LiveJournal1,LabelPropagation,9,2e-06,0.040131
run_ppcsr,1,soc-LiveJournal1,PageRank,0,1e-06,0.323955
run_ppcsr,1,soc-LiveJournal1,PageRank,1,2e-06,0.319769
run_ppcsr,1,soc-LiveJournal1,PageRank,2,3e-06,0.324715
run_ppcsr,1,soc-LiveJournal1,PageRank,3,3e-06,0.316877
run_ppcsr,1,soc-LiveJournal1,PageRank,4,4e-06,0.303275
run_ppcsr,1,soc-LiveJournal1,PageRank,5,4e-06,0.303458
run_ppcsr,1,soc-LiveJournal1,PageRank,6,3e-06,0.304787
run_ppcsr,1,soc-LiveJournal1,PageRank,7,1e-05,0.306329
run_ppcsr,1,soc-LiveJournal1,PageRank,8,1e-05,0.305609
run_ppcsr,1,soc-LiveJournal1,PageRank,9,3e-06,0.299025
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,0,1e-06,5.299093
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,1,3e-06,7.341158
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,2,5e-06,5.796643
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,3,5e-06,5.254375
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,4,6e-06,5.240306
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,5,4e-06,5.249648
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,6,5e-06,5.195756
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,7,5e-06,5.317208
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,8,5e-06,5.410043
run_ppcsr,1,soc-LiveJournal1,wBFS_unweighted,9,5e-06,5.256311
run_ppcsr,1,twitter-unique-undir,BFS,0,1e-06,0.104703
run_ppcsr,1,twitter-unique-undir,BFS,1,4e-06,0.103724
run_ppcsr,1,twitter-unique-undir,BFS,2,3e-06,0.105145
run_ppcsr,1,twitter-unique-undir,BFS,3,3e-06,0.10461
run_ppcsr,1,twitter-unique-undir,BFS,4,3e-06,0.104562
run_ppcsr,1,twitter-unique-undir,BFS,5,3e-06,0.106798
run_ppcsr,1,twitter-unique-undir,BFS,6,3e-06,0.104273
run_ppcsr,1,twitter-unique-undir,BFS,7,3e-06,0.103865
run_ppcsr,1,twitter-unique-undir,BFS,8,5e-06,0.104403
run_ppcsr,1,twitter-unique-undir,BFS,9,4e-06,0.103666
run_ppcsr,1,twitter-unique-undir,LabelPropagation,0,1e-06,1.135442
run_ppcsr,1,twitter-unique-undir,LabelPropagation,1,3e-06,1.132491
run_ppcsr,1,twitter-unique-undir,LabelPropagation,2,3e-06,1.134234
run_ppcsr,1,twitter-unique-undir,LabelPropagation,3,3e-06,1.150595
run_ppcsr,1,twitter-unique-undir,LabelPropagation,4,3e-06,1.139408
run_ppcsr,1,twitter-unique-undir,LabelPropagation,5,3e-06,1.15611
run_ppcsr,1,twitter-unique-undir,LabelPropagation,6,3e-06,1.139765
run_ppcsr,1,twitter-unique-undir,LabelPropagation,7,3e-06,1.141221
run_ppcsr,1,twitter-unique-undir,LabelPropagation,8,4e-06,1.133107
run_ppcsr,1,twitter-unique-undir,LabelPropagation,9,3e-06,1.131141
run_ppcsr,1,twitter-unique-undir,PageRank,0,1e-06,13.260626
run_ppcsr,1,twitter-unique-undir,PageRank,1,4e-06,12.882818
run_ppcsr,1,twitter-unique-undir,PageRank,2,5e-06,12.54975
run_ppcsr,1,twitter-unique-undir,PageRank,3,4e-06,12.134639
run_ppcsr,1,twitter-unique-undir,PageRank,4,4e-06,12.027136
run_ppcsr,1,twitter-unique-undir,PageRank,5,5e-06,13.610473
run_ppcsr,1,twitter-unique-undir,PageRank,6,6e-06,12.107082
run_ppcsr,1,twitter-unique-undir,PageRank,7,7e-06,11.53639
run_ppcsr,1,twitter-unique-undir,PageRank,8,7e-06,11.483479
run_ppcsr,1,twitter-unique-undir,PageRank,9,6e-06,11.466509
