baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_std_set,1,cit-Patents,BFS,0,7e-06,0.051173
run_std_set,1,cit-Patents,BFS,1,9e-06,0.042747
run_std_set,1,cit-Patents,BFS,2,8e-06,0.042743
run_std_set,1,cit-Patents,BFS,3,8e-06,0.043768
run_std_set,1,cit-Patents,BFS,4,9e-06,0.04137
run_std_set,1,cit-Patents,BFS,5,1e-05,0.042595
run_std_set,1,cit-Patents,BFS,6,8e-06,0.041762
run_std_set,1,cit-Patents,BFS,7,1e-05,0.040553
run_std_set,1,cit-Patents,BFS,8,8e-06,0.042139
run_std_set,1,cit-Patents,BFS,9,8e-06,0.041321
run_std_set,1,cit-Patents,LabelPropagation,0,5e-06,0.04971
run_std_set,1,cit-Patents,LabelPropagation,1,9e-06,0.041775
run_std_set,1,cit-Patents,LabelPropagation,2,8e-06,0.045435
run_std_set,1,cit-Patents,LabelPropagation,3,8e-06,0.041554
run_std_set,1,cit-Patents,LabelPropagation,4,9e-06,0.041346
run_std_set,1,cit-Patents,LabelPropagation,5,9e-06,0.04229
run_std_set,1,cit-Patents,LabelPropagation,6,1e-05,0.041172
run_std_set,1,cit-Patents,LabelPropagation,7,1e-05,0.04228
run_std_set,1,cit-Patents,LabelPropagation,8,8e-06,0.042189
run_std_set,1,cit-Patents,LabelPropagation,9,9e-06,0.041332
run_std_set,1,cit-Patents,PageRank,0,7e-06,0.397683
run_std_set,1,cit-Patents,PageRank,1,1.2e-05,0.386682
run_std_set,1,cit-Patents,PageRank,2,1.3e-05,0.371107
run_std_set,1,cit-Patents,PageRank,3,1.3e-05,0.386053
run_std_set,1,cit-Patents,PageRank,4,1.3e-05,0.386466
run_std_set,1,cit-Patents,PageRank,5,1.2e-05,0.38787
run_std_set,1,cit-Patents,PageRank,6,1.1e-05,0.358936
run_std_set,1,cit-Patents,PageRank,7,1.1e-05,0.380115
run_std_set,1,cit-Patents,PageRank,8,1.1e-05,0.362542
run_std_set,1,cit-Patents,PageRank,9,1.6e-05,0.388318
run_std_set,1,cit-Patents,wBFS_unweighted,0,6e-06,4.626038
run_std_set,1,cit-Patents,wBFS_unweighted,1,8e-06,4.667395
run_std_set,1,cit-Patents,wBFS_unweighted,2,8e-06,4.67085
run_std_set,1,cit-Patents,wBFS_unweighted,3,8e-06,4.656875
run_std_set,1,cit-Patents,wBFS_unweighted,4,9e-06,4.70539
run_std_set,1,cit-Patents,wBFS_unweighted,5,1e-05,4.632435
run_std_set,1,cit-Patents,wBFS_unweighted,6,1.2e-05,4.614255
run_std_set,1,cit-Patents,wBFS_unweighted,7,8e-06,4.584416
run_std_set,1,cit-Patents,wBFS_unweighted,8,8e-06,4.562872
run_std_set,1,cit-Patents,wBFS_unweighted,9,8e-06,4.631192
